TS_LOAD;SYS_DESC;VEH_SER_NO;OPR_NAME
2017-03-09 07:13:56.913000;Cab Conveyer;DPL397;Cab Upload 2
2017-03-09 07:13:56.913000;Cab Conveyor / Monorail;DPL397;Cab Upload
2017-03-09 07:14:18.000000;U-BOLT;PJL425;Front U-Bolt
2017-03-09 07:15:49.939037;Paint Inspection;SPF970;PAINT
2017-03-09 07:16:21.970000;Hood Conveyor;YZU059;Hood Upload
2017-03-09 07:17:02.460000;Cab Conveyer;ICB356;Cab Upload 2
2017-03-09 07:17:02.460000;Cab Conveyor / Monorail;ICB356;Cab Upload
2017-03-09 07:17:31.527000;Cab in white conveyer;ZJK473;CIW upload
2017-03-09 07:19:34.000000;Cab Call Scan;GSF615;B Line
2017-03-09 07:19:59.000000;U-BOLT;PJL425;Rear U-Bolt
2017-03-09 07:20:15.467000;Hood Conveyor;FZA809;Hood Upload
2017-03-09 07:20:50.453000;Assembly Line Tracker;AGU058;Pool 13 Start
2017-03-09 07:21:14.633000;OMT Offline Tracking;GQV369;Enter Offline
2017-03-09 07:22:50.000000;U-BOLT;CMI143;Front U-Bolt
2017-03-09 07:23:21.078329;Paint Inspection;JYZ708;PAINT
2017-03-09 07:23:24.077000;Cab in white conveyer;QTI468;CIW upload
2017-03-09 07:25:36.960000;Hood Conveyor;APZ612;Hood Upload
2017-03-09 07:27:26.993000;OMT Offline Tracking;QZB271;Enter Offline
2017-03-09 07:27:43.000000;U-BOLT;IOU412;Front U-Bolt
2017-03-09 07:28:20.060000;Cab call scan;OWH831;A Line
2017-03-09 07:29:17.000000;STVMS Tracking Chassis Start;SEK173;Chassis Start
2017-03-09 07:29:20.000000;STVMS Tracking Chassis Start;TRJ645;Chassis Start
2017-03-09 07:29:20.563000;Cab Call Scan;SYA283;B Line
2017-03-09 07:30:40.173000;Hood Conveyor;YWI795;Hood Upload
2017-03-09 07:30:44.623000;Cab in white conveyer;MBG962;CIW upload
2017-03-09 07:30:53.287000;Assembly Line Tracker;QZH295;Pool 13 Start
2017-03-09 07:33:09.093000;Cab Conveyer;MPE786;Cab Upload 2
2017-03-09 07:33:09.093000;Cab Conveyor / Monorail;MPE786;Cab Upload
2017-03-09 07:33:26.000000;U-BOLT;IOU412;Rear U-Bolt
2017-03-09 07:35:56.000000;STVMS Tracking Chassis Start;CSV482;Chassis Start
2017-03-09 07:36:17.787000;OMT Offline Tracking;RHX208;Enter Offline
2017-03-09 07:36:17.787000;OMT Offline Tracking;RHX208;Sold
2017-03-09 07:36:21.573000;Cab in white conveyer;DKE275;CIW upload
2017-03-09 07:36:31.037000;OMT Offline Tracking;YGL283;Enter Offline
2017-03-09 07:36:41.000000;U-BOLT;FHU982;Front U-Bolt
2017-03-09 07:37:08.110000;Hood Conveyor;EVB234;Hood Upload
2017-03-09 07:39:34.133000;Cab Conveyer;JBC439;Cab Upload 2
2017-03-09 07:39:34.133000;Cab Conveyor / Monorail;JBC439;Cab Upload
2017-03-09 07:40:33.000000;U-BOLT;FHU982;Rear U-Bolt
2017-03-09 07:41:25.653000;Cab in white conveyer;WQS294;CIW upload
2017-03-09 07:41:43.120000;Cab Call Scan;JKZ317;B Line
2017-03-09 07:44:28.000000;STVMS Tracking Chassis Start;NHZ581;Chassis Start
2017-03-09 07:44:44.533000;OMT Offline Tracking;NUX358;Enter Offline
